00,01,00,01,00,01,00,01,00,01,00,01,00,01,00,01,00,01,00,01,00,01,00,01,00,01,00,01,00,01,00,01
01,00,01,00,01,00,01,00,01,00,01,00,01,00,01,00,01,00,01,00,01,00,01,00,01,00,01,00,01,00,01,00
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
11,11,06,11,11,11,11,11,11,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,06,11,11,11,11,11,11,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
13,13,13,13,13,13,10,10,10,10,13,13,13,13,13,13,13,13,13,13,10,10,10,10,13,13,13,13,13,13,13,13
13,13,13,13,13,13,04,04,04,04,13,13,13,13,13,13,13,13,13,13,04,04,04,04,13,13,13,13,13,13,13,13
13,13,13,13,13,13,10,10,10,10,13,13,13,13,13,13,13,13,13,13,10,10,10,10,13,13,13,13,13,13,13,13
13,13,13,13,13,13,04,04,04,04,13,13,13,13,13,13,13,13,13,13,04,04,04,04,13,13,13,13,13,13,13,13
13,13,13,13,13,13,10,10,10,10,13,13,13,13,13,13,13,13,13,13,10,10,10,10,13,13,13,13,13,13,13,13
13,13,13,13,13,13,04,04,04,04,13,13,13,13,13,13,13,13,13,13,04,04,04,04,13,13,13,13,13,13,13,13
13,13,13,13,13,13,10,10,10,10,13,13,13,13,13,13,13,13,13,13,10,10,10,10,13,13,13,13,13,13,13,13
13,13,13,13,13,13,04,04,04,04,13,13,13,13,13,13,13,13,13,13,04,04,04,04,13,13,13,13,13,13,13,13
13,13,13,13,13,13,10,10,10,10,13,13,13,13,13,13,13,13,13,13,10,10,10,10,13,13,13,13,13,13,13,13
13,13,13,13,13,13,04,04,04,04,13,13,13,13,13,13,13,13,13,13,04,04,04,04,13,13,13,13,13,13,13,13
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
11,11,06,11,11,11,11,11,11,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,06,11,11,11,11,11,11,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11		
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02
02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02
07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07
02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02
02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
11,11,06,11,11,11,11,11,11,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
